Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
760	-5688.618	-5713.751	25.13374	0.0321037	0.0286287	0.018086	0.0442636	0.0447451	0.0294506	0.0602347	0.0216539	0.00786519	0.00799282	0.0807002	0.0515803	0.00764126	0.00633887	0.0142578	0.00214529	0.0144019	0.0168488	0.0142991	0.0407151	0.0425724	0.5865252
770	-5695.72	-5720.64	24.91995	0.0223971	0.0299663	0.0171063	0.0638122	0.0447451	0.0474292	0.052155	0.0250622	0.0188255	0.00526009	0.0785625	0.0515803	0.0169156	0.00216296	0.0112958	0.00792504	0.0144019	0.0197311	0.0160455	0.0279624	0.0345628	0.6079047
780	-5698.737	-5723.767	25.03064	0.0416249	0.042681	0.0169105	0.0468068	0.0403293	0.0366561	0.0424536	0.0140825	0.014836	0.0046659	0.086368	0.0469126	0.0162693	0.00623912	0.0136388	0.00502364	0.0107285	0.0206988	0.0266131	0.0421067	0.0211907	0.5968358
790	-5688.383	-5713.515	25.13216	0.0294426	0.0326779	0.0207062	0.0434069	0.0324051	0.0287375	0.0531119	0.0167774	0.00990784	0.0103975	0.086368	0.0687102	0.0127336	0.00999102	0.0169356	0.00294982	0.0112929	0.0226678	0.0188526	0.0340571	0.0245544	0.5866837
800	-5691.524	-5716.815	25.29158	0.0346939	0.0293707	0.0158331	0.0568723	0.0365064	0.0269898	0.0512025	0.0251367	0.012841	0.00918634	0.0803741	0.0532287	0.017644	0.00554633	0.0114474	0.00538093	0.0107446	0.0184984	0.0193841	0.030023	0.0198375	0.5707417
810	-5687.362	-5712.476	25.11392	0.0304383	0.0248352	0.0175835	0.055551	0.0364378	0.0261385	0.0512691	0.0194189	0.00783861	0.00204704	0.0797866	0.0610666	0.00939959	0.00594577	0.0151244	0.00655434	0.0120179	0.0292222	0.0193841	0.0419027	0.0365456	0.5885076
820	-5686.487	-5711.676	25.18966	0.0330628	0.0281337	0.0197012	0.0504259	0.0452855	0.0336756	0.0601804	0.028078	0.00783861	0.00632354	0.0728461	0.0682294	0.00657775	0.00490561	0.0107999	0.00367749	0.0101761	0.0166199	0.0193841	0.0286217	0.0263899	0.5809333
830	-5688.744	-5714.191	25.44759	0.0298248	0.0329049	0.0193006	0.0440103	0.0341234	0.0470893	0.0393346	0.0226673	0.00900363	0.00344194	0.0724974	0.0561549	0.00845286	0.00324671	0.0156303	0.0060651	0.00912784	0.017225	0.0157367	0.0303971	0.0389062	0.5551408
840	-5687.068	-5712.504	25.43568	0.0308204	0.0263401	0.0228623	0.0485718	0.042762	0.0358795	0.0405169	0.0176622	0.00667949	0.00598494	0.0714975	0.057384	0.0107621	0.00537808	0.0192157	0.00511108	0.014514	0.0193668	0.0170049	0.0344892	0.0235281	0.5563311
850	-5695.028	-5719.753	24.7243	0.0325289	0.0342776	0.027165	0.0449833	0.0521336	0.0336896	0.0521364	0.0147933	0.00705222	0.00250061	0.102953	0.0705713	0.0157024	0.00689719	0.0140015	0.00890563	0.0188924	0.0153379	0.0182301	0.0344892	0.0202285	0.6274698
860	-5689.908	-5714.842	24.93417	0.0270276	0.0395088	0.0162943	0.0578073	0.0344194	0.0348966	0.0548254	0.0211533	0.00971123	0.0100849	0.0851564	0.0563971	0.0123291	0.00416967	0.01929	0.00457086	0.0126395	0.0230738	0.0149702	0.0387828	0.0293735	0.6064819
